file,pattern,lineno
sklearn\externals\six.py,delname,495,builtins
sklearn\externals\six.py,delname,505,frame
sklearn\externals\joblib\disk.py,hasattr,23
sklearn\externals\joblib\format_stack.py,getattr,60
sklearn\externals\joblib\format_stack.py,getattr,64
sklearn\externals\joblib\func_inspect.py,hasattr,65
sklearn\externals\joblib\func_inspect.py,hasattr,79
sklearn\externals\joblib\func_inspect.py,hasattr,104
sklearn\externals\joblib\func_inspect.py,hasattr,110
sklearn\externals\joblib\func_inspect.py,hasattr,135
sklearn\externals\joblib\func_inspect.py,hasattr,137
sklearn\externals\joblib\func_inspect.py,hasattr,144
sklearn\externals\joblib\func_inspect.py,hasattr,149
sklearn\externals\joblib\func_inspect.py,hasattr,193
sklearn\externals\joblib\hashing.py,hasattr,72
sklearn\externals\joblib\hashing.py,delsubscript,104
sklearn\externals\joblib\hashing.py,getattr,109
sklearn\externals\joblib\hashing.py,hasattr,115
sklearn\externals\joblib\hashing.py,hasattr,160
sklearn\externals\joblib\memory.py,getattr,534
sklearn\externals\joblib\memory.py,hasattr,551
sklearn\externals\joblib\memory.py,hasattr,554
sklearn\externals\joblib\my_exceptions.py,hasattr,22
sklearn\externals\joblib\my_exceptions.py,getattr,87
sklearn\externals\joblib\numpy_pickle.py,getattr,138
sklearn\externals\joblib\numpy_pickle.py,hasattr,144
sklearn\externals\joblib\numpy_pickle.py,hasattr,409
sklearn\externals\joblib\numpy_pickle.py,hasattr,473
sklearn\externals\joblib\parallel.py,hasattr,57
sklearn\externals\joblib\parallel.py,hasattr,427
sklearn\externals\joblib\parallel.py,hasattr,427
sklearn\externals\joblib\parallel.py,hasattr,786
sklearn\externals\joblib\pool.py,getattr,73
sklearn\externals\joblib\pool.py,hasattr,291
sklearn\externals\joblib\pool.py,hasattr,303
sklearn\externals\joblib\pool.py,getattr,422
sklearn\externals\joblib\_multiprocessing_helpers.py,delname,26,_sem
sklearn\feature_extraction\hashing.py,hasattr,15
sklearn\feature_extraction\text.py,delsubscript,728
sklearn\feature_extraction\text.py,hasattr,859
sklearn\feature_extraction\text.py,hasattr,1014
sklearn\feature_extraction\text.py,hasattr,1045
sklearn\feature_extraction\tests\test_text.py,hasattr,381
sklearn\feature_extraction\tests\test_text.py,hasattr,391
sklearn\feature_extraction\tests\test_text.py,delattr,910
sklearn\feature_selection\from_model.py,hasattr,17
sklearn\feature_selection\from_model.py,hasattr,20
sklearn\feature_selection\from_model.py,hasattr,43
sklearn\feature_selection\from_model.py,getattr,128
sklearn\feature_selection\from_model.py,hasattr,195
sklearn\feature_selection\from_model.py,hasattr,228
sklearn\feature_selection\from_model.py,hasattr,255
sklearn\feature_selection\rfe.py,hasattr,172
sklearn\feature_selection\rfe.py,hasattr,174
sklearn\feature_selection\variance_threshold.py,hasattr,66
sklearn\feature_selection\tests\test_from_model.py,hasattr,76
sklearn\gaussian_process\gpc.py,hasattr,378
sklearn\gaussian_process\gpr.py,hasattr,271
sklearn\gaussian_process\kernels.py,getattr,118
sklearn\gaussian_process\kernels.py,getattr,135
sklearn\gaussian_process\kernels.py,getattr,212
sklearn\gaussian_process\tests\test_kernels.py,getattr,97
sklearn\gaussian_process\tests\test_kernels.py,getattr,124
sklearn\gaussian_process\tests\test_kernels.py,getattr,197
sklearn\gaussian_process\tests\test_kernels.py,getattr,198
sklearn\linear_model\base.py,delname,96,X_var
sklearn\linear_model\base.py,hasattr,241
sklearn\linear_model\base.py,hasattr,485
sklearn\linear_model\base.py,hasattr,506
sklearn\linear_model\base.py,hasattr,509
sklearn\linear_model\coordinate_descent.py,delname,956,X_train
sklearn\linear_model\coordinate_descent.py,delname,956,y_train
sklearn\linear_model\coordinate_descent.py,hasattr,1028
sklearn\linear_model\coordinate_descent.py,hasattr,1071
sklearn\linear_model\coordinate_descent.py,delname,1078,reference_to_old_X
sklearn\linear_model\coordinate_descent.py,hasattr,1171
sklearn\linear_model\coordinate_descent.py,delattribute,1172
sklearn\linear_model\coordinate_descent.py,hasattr,1639
sklearn\linear_model\least_angle.py,delname,403,coef
sklearn\linear_model\least_angle.py,delname,403,alpha
sklearn\linear_model\least_angle.py,delname,403,prev_alpha
sklearn\linear_model\least_angle.py,delname,403,prev_coef
sklearn\linear_model\least_angle.py,hasattr,599
sklearn\linear_model\least_angle.py,getattr,641
sklearn\linear_model\least_angle.py,hasattr,642
sklearn\linear_model\least_angle.py,hasattr,649
sklearn\linear_model\logistic.py,getattr,1200
sklearn\linear_model\logistic.py,hasattr,1275
sklearn\linear_model\ridge.py,hasattr,340
sklearn\linear_model\stochastic_gradient.py,hasattr,386
sklearn\linear_model\tests\test_least_angle.py,getattr,487
sklearn\linear_model\tests\test_least_angle.py,getattr,490
sklearn\linear_model\tests\test_passive_aggressive.py,getattr,126
sklearn\linear_model\tests\test_passive_aggressive.py,getattr,252
sklearn\linear_model\tests\test_perceptron.py,getattr,70
sklearn\linear_model\tests\test_ransac.py,getattr,88
sklearn\linear_model\tests\test_sgd.py,hasattr,203
sklearn\linear_model\tests\test_sgd.py,hasattr,204
sklearn\linear_model\tests\test_sgd.py,hasattr,205
sklearn\linear_model\tests\test_sgd.py,hasattr,206
sklearn\linear_model\tests\test_sgd.py,hasattr,211
sklearn\linear_model\tests\test_sgd.py,hasattr,212
sklearn\linear_model\tests\test_sgd.py,hasattr,213
sklearn\linear_model\tests\test_sgd.py,hasattr,214
sklearn\linear_model\tests\test_sgd.py,hasattr,472
sklearn\linear_model\tests\test_sgd.py,hasattr,473
sklearn\linear_model\tests\test_sgd.py,hasattr,818
sklearn\manifold\locally_linear.py,hasattr,168
sklearn\manifold\mds.py,hasattr,232
sklearn\metrics\scorer.py,hasattr,234
sklearn\metrics\scorer.py,hasattr,239
sklearn\metrics\tests\test_ranking.py,hasattr,826
sklearn\mixture\dpgmm.py,delname,268,dgamma1
sklearn\mixture\dpgmm.py,delname,268,dgamma2
sklearn\mixture\dpgmm.py,delname,268,sd
sklearn\mixture\dpgmm.py,delname,450,cz
sklearn\mixture\dpgmm.py,hasattr,525
sklearn\mixture\dpgmm.py,hasattr,528
sklearn\mixture\dpgmm.py,hasattr,533
sklearn\mixture\dpgmm.py,hasattr,536
sklearn\mixture\gmm.py,hasattr,480
sklearn\mixture\gmm.py,hasattr,487
sklearn\mixture\gmm.py,hasattr,493
sklearn\model_selection\_search.py,hasattr,225
sklearn\model_selection\_search.py,hasattr,249
sklearn\model_selection\_search.py,hasattr,324
sklearn\model_selection\_search.py,hasattr,419
sklearn\model_selection\_split.py,hasattr,1353
sklearn\model_selection\_split.py,hasattr,1476
sklearn\model_selection\_split.py,hasattr,1482
sklearn\model_selection\_split.py,getattr,1483
sklearn\model_selection\_split.py,getattr,1488
sklearn\model_selection\_split.py,getattr,1510
sklearn\model_selection\_split.py,getattr,1529
sklearn\model_selection\_validation.py,hasattr,704
sklearn\model_selection\tests\test_search.py,hasattr,261
sklearn\model_selection\tests\test_search.py,hasattr,265
sklearn\model_selection\tests\test_search.py,hasattr,273
sklearn\model_selection\tests\test_search.py,hasattr,463
sklearn\model_selection\tests\test_search.py,hasattr,492
sklearn\model_selection\tests\test_search.py,hasattr,504
sklearn\model_selection\tests\test_search.py,hasattr,516
sklearn\model_selection\tests\test_search.py,hasattr,542
sklearn\model_selection\tests\test_search.py,hasattr,727
sklearn\neighbors\approximate.py,hasattr,427
sklearn\neighbors\approximate.py,hasattr,487
sklearn\neighbors\approximate.py,hasattr,521
sklearn\neighbors\base.py,hasattr,84
sklearn\neighbors\tests\test_neighbors.py,getattr,120
sklearn\neighbors\tests\test_neighbors.py,getattr,126
sklearn\neighbors\tests\test_neighbors.py,getattr,134
sklearn\neighbors\tests\test_neighbors.py,getattr,139
sklearn\neighbors\tests\test_neighbors.py,getattr,140
sklearn\neighbors\tests\test_neighbors.py,getattr,145
sklearn\neural_network\multilayer_perceptron.py,hasattr,321
sklearn\neural_network\multilayer_perceptron.py,hasattr,343
sklearn\neural_network\multilayer_perceptron.py,hasattr,471
sklearn\neural_network\multilayer_perceptron.py,hasattr,653
sklearn\neural_network\multilayer_perceptron.py,hasattr,897
