file,pattern,lineno
scipy\stats\stats.py,delsubscript,1112
scipy\stats\stats.py,delsubscript,1123
scipy\stats\stats.py,getattr,4114
scipy\stats\stats.py,getattr,4115
scipy\stats\stats.py,getattr,4121
scipy\stats\stats.py,hasattr,4175
scipy\stats\_distn_infrastructure.py,delname,355,obj
scipy\stats\_distn_infrastructure.py,delname,357,s
scipy\stats\_distn_infrastructure.py,hasattr,699
scipy\stats\_distn_infrastructure.py,getattr,2122
scipy\stats\_distn_infrastructure.py,hasattr,3132
scipy\stats\tests\common_tests.py,getattr,22
scipy\stats\tests\common_tests.py,getattr,24
scipy\stats\tests\test_continuous_basic.py,getattr,107
scipy\stats\tests\test_continuous_basic.py,getattr,169
scipy\stats\tests\test_continuous_basic.py,getattr,230
scipy\stats\tests\test_discrete_basic.py,getattr,24
scipy\stats\tests\test_discrete_basic.py,getattr,48
scipy\stats\tests\test_discrete_basic.py,getattr,73
scipy\stats\tests\test_distributions.py,hasattr,52
scipy\stats\tests\test_distributions.py,getattr,77
scipy\stats\tests\test_distributions.py,getattr,1132
scipy\stats\tests\test_distributions.py,getattr,1157
scipy\stats\tests\test_distributions.py,hasattr,1491
scipy\stats\tests\test_distributions.py,hasattr,1496
scipy\stats\tests\test_distributions.py,getattr,2435
scipy\stats\tests\test_fit.py,getattr,69
scipy\stats\tests\test_fit.py,getattr,101
scipy\stats\tests\test_mstats_basic.py,hasattr,63
scipy\stats\tests\test_mstats_basic.py,hasattr,104
scipy\weave\accelerate_tools.py,getattr,50
scipy\weave\accelerate_tools.py,getattr,58
scipy\weave\accelerate_tools.py,getattr,344
scipy\weave\accelerate_tools.py,getattr,363
scipy\weave\blitz_spec.py,hasattr,110
scipy\weave\bytecodecompiler.py,delname,161,name
scipy\weave\bytecodecompiler.py,delname,162,op
scipy\weave\bytecodecompiler.py,getattr,238
scipy\weave\bytecodecompiler.py,delsubscript,920
scipy\weave\bytecodecompiler.py,delsubscript,923
scipy\weave\bytecodecompiler.py,delsubscript,942
scipy\weave\bytecodecompiler.py,delsubscript,945
scipy\weave\bytecodecompiler.py,hasattr,1391
scipy\weave\catalog.py,hasattr,264
scipy\weave\catalog.py,delsubscript,753
scipy\weave\catalog.py,delsubscript,760
scipy\weave\ext_tools.py,hasattr,452
scipy\weave\ext_tools.py,hasattr,460
scipy\weave\inline_tools.py,delsubscript,505
scipy\weave\platform_info.py,hasattr,66
scipy\weave\platform_info.py,hasattr,69
scipy\weave\standard_array_spec.py,hasattr,152
scipy\weave\swig2_spec.py,hasattr,284
scipy\weave\_dumbdbm_patched.py,delsubscript,140
scipy\weave\tests\test_catalog.py,delsubscript,297
scipy\weave\tests\test_catalog.py,delname,395,q
scipy\weave\tests\test_catalog.py,delname,483,q
scipy\weave\tests\test_catalog.py,delname,493,r
scipy\weave\tests\test_catalog.py,delname,500,s
scipy\weave\tests\test_scxx_object.py,delname,251,res
scipy\weave\tests\test_scxx_object.py,delname,292,res
scipy\weave\tests\test_scxx_object.py,hasattr,393
scipy\weave\tests\test_scxx_object.py,delname,521,res
scipy\weave\tests\test_scxx_object.py,delname,541,res
scipy\weave\tests\test_scxx_object.py,delname,564,res
scipy\weave\tests\test_scxx_object.py,delname,671,res
scipy\weave\tests\test_scxx_object.py,delname,712,res
scipy\weave\tests\test_scxx_sequence.py,delsubscript,228
scipy\weave\tests\test_scxx_sequence.py,delsubscript,234
scipy\weave\tests\test_scxx_sequence.py,delsubscript,245
scipy\weave\tests\test_scxx_sequence.py,delsubscript,253
scipy\weave\tests\test_scxx_sequence.py,delsubscript,259
scipy\weave\tests\test_scxx_sequence.py,delsubscript,265
scipy\weave\tests\test_scxx_sequence.py,delsubscript,271
scipy\weave\tests\test_scxx_sequence.py,delsubscript,281
scipy\weave\tests\test_scxx_sequence.py,delsubscript,285
scipy\weave\tests\test_scxx_sequence.py,delsubscript,293
scipy\weave\tests\test_scxx_sequence.py,delsubscript,299
scipy\weave\tests\test_scxx_sequence.py,delsubscript,305
scipy\weave\tests\test_scxx_sequence.py,delsubscript,311
scipy\_lib\decorator.py,getattr,106
scipy\_lib\decorator.py,getattr,109
scipy\_lib\decorator.py,hasattr,147
scipy\_lib\decorator.py,hasattr,148
scipy\_lib\decorator.py,getattr,154
scipy\_lib\decorator.py,getattr,155
scipy\_lib\decorator.py,getattr,156
scipy\_lib\decorator.py,getattr,157
scipy\_lib\decorator.py,getattr,158
scipy\_lib\decorator.py,getattr,165
scipy\_lib\decorator.py,hasattr,234
scipy\_lib\six.py,delname,64,X
scipy\_lib\six.py,getattr,154
scipy\_lib\six.py,getattr,159
scipy\_lib\six.py,getattr,164
scipy\_lib\six.py,getattr,198
scipy\_lib\six.py,getattr,205
scipy\_lib\six.py,delname,206,builtins
scipy\_lib\six.py,delname,216,frame
scipy\_lib\_gcutils.py,delname,94,obj
scipy\_lib\_util.py,hasattr,72
scipy\_lib\_util.py,getattr,118
scipy\_lib\tests\test__gcutils.py,delname,57,c
scipy\_lib\tests\test__gcutils.py,delname,80,c
scipy\_lib\tests\test__util.py,hasattr,18
tools\refguide_check.py,hasattr,174
tools\refguide_check.py,getattr,189
tools\refguide_check.py,getattr,194
tools\refguide_check.py,getattr,376
tools\refguide_check.py,getattr,636
